Pos0,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Result
 ,X,O, ,O,O, ,X,X,X6
X,X, , , ,O,O, ,X,O2
 , , ,X, ,O,O,X,X,O0
X,X,O,X,X, ,O, ,O,O5
 ,X,O, , , ,X,O,X,O0
O, , , , ,X, ,X, ,O2
 , ,O,X,O,X,X, ,O,X0
X, , ,O,X,O, , ,X,X won
O,X, ,O,X, , , , ,X7
O, , , , ,X, , ,X,O2
X,O, ,X,O, , , ,X,O7
 ,O, ,X,O,X, , , ,X7
 ,X,X,X,O,X,O,O, ,O8
O, , , , , ,O,X,X,X3
 , , ,X,O, ,O, ,X,X2
O,O,X, ,X,O, ,X, ,X6
O, ,X,X,O,X,X,O,O,O won
O,O, , ,X,X, , ,X,O2
X,O,X,O,X,O,O,X, ,X8
X, ,X,O,O,X,X, ,O,O1
X,X, , ,O, , ,O, ,X2
O, , ,X, , , ,X, ,O2
X,O,O,X,O, , ,X,X,O6
X, ,O,X, ,O, ,O,X,X4
X,X,O, ,O, , , ,X,O6
 ,X,X, , ,O, , , ,O0
 ,O, ,X,O,X, ,O,X,O won
 , ,X, , ,X,X,O,O,O4
O,O, ,X, , ,X,X, ,O2
O, ,X,O,X,X, , ,O,X6
O,X, ,X,O, ,O,X,X,O2
 , ,X,X, , ,O, , ,O4
 ,X,X, , ,X,O, ,O,O7
O,X, ,X,O,O,X,X, ,O8
 , ,X, , , ,X,O,O,X4
 ,X, , ,X,X,O,O,O,O won
X,O,X, , ,X, , ,O,O7
O,X, ,X, ,O,O,X,X,O4
X,O,O, ,X, ,X, , ,O3
X,O, ,O,X,O,X,X, ,O2
O,X,X,X, ,O,O, ,X,O4
O,X,X,O, ,O,X,X, ,O4
 , , ,X, , , ,O, ,X4
O, ,X,X,O, ,X, , ,O8
X,O,O, , , ,X, ,X,O3
 ,O,O,X,O,X, , ,X,X0
O, ,O,X,O, ,X, ,X,X7
 ,X,O,O,O, ,X,X, ,X8
X,O, ,X, , , , , ,O6
O, ,X, ,X, , ,X,O,O1
 , ,X, ,X,O, ,O,X,O0
 ,X,X, , ,O,O,X,O,X0
X,O,X,X,O,X, ,O,O,O won
X,X,O,O,X, , ,O,X,X won
 , ,X, , ,O, ,X,O,X1
X, ,O,X,X,O, ,O,X,X won
O, , ,X,X, , ,O, ,X5
O,X,O, , , ,O,X,X,X4
X,X,O, , ,O, ,X, ,O8
X, ,O,X,O,X, ,O, ,X6
 ,X,O,O, ,X, , ,X,O6
X, , ,X,X, ,O,O, ,O8
 ,X,O, , , , ,O,X,X0
X,X, ,O,O,X,O, , ,X2
O, ,O,X,X,O, ,X,X,O1
O,O,X, ,X, ,X, , ,X won
O,X, , ,X, ,O, , ,X7
 , , , ,X,X,O, , ,O3
X,O, ,O, ,O,X,X, ,X8
O,O, , , ,X,O,X,X,X2
X, ,X,O, ,O,X, ,O,X1
 , ,O, ,O, ,X, ,X,X7
 ,O,X, ,X, , ,O, ,X6
 , , ,X, ,X,O,O, ,X4
 , ,O, , ,X,X,O,X,O1
 ,O,X, ,X,O,O,X,X,O0
X,O,X, ,X,O,X, ,O,X won
O,X, ,X,O, ,X,O, ,X8
X, , ,X, ,O,O,X, ,O2
 ,O, , ,X,X,X,O, ,O0
O,O,X,X,O,X, , , ,X8
X,O, ,O, ,O, ,X,X,X4
X, ,O,O,X, ,X,O, ,X8
 ,O, ,O,X,X,O, ,X,X0
X,O, , ,O,X, , , ,X7
 , ,X,O,X, ,X,O, ,X won
O, ,O,X, , , , ,X,X1
X,O, ,X,X, ,O,X,O,O5
O, , , ,O, , ,X,X,X6
 , ,O,X,X,X, ,O, ,X won
O,O,X,X,X, ,O, , ,X5
 ,O,X,X, ,O, , ,X,O4
 ,X, ,X,O, ,O,X,O,X0
O,X,O,O,X, ,X, ,X,O7
 ,X,O,O, ,X,X,X,O,O4
 , ,X,X,O,O, ,O,X,X1
 ,O,X,X,O,O, ,X,X,O6
O, ,X,X, ,O, ,O,X,X1
O, ,O,O,X,X,X,X,O,X1
 ,X, ,O,O, , , ,X,X5
X,O,O, ,X,X, ,O,X,X won
 , ,X,X,X, ,O,O, ,O8
O, , ,O,O,X,X, ,X,X2
O,X, , , , , ,X, ,O4
 ,X, ,O,X,O,O,X,X,X won
 ,X,O,O,X,O,X, ,X,O0
 ,O,O, ,O,X,X,X,X,X won
X,O,O,X,O,X,O,X, ,O won
O,O,X,X,X,O, , , ,X6
 , ,X,O,X,O, ,O,X,X0
X,O,X,O,O, ,O,X,X,X5
X, ,X,X,O,X,O,O, ,O1
 ,O,X, , ,O,X, ,X,O0
 ,O,O,X, , ,O,X,X,X0
X,X,O,O,X,X,X,O,O,Draw
 ,X,O, ,X, ,O,X, ,X won
 ,O, , ,O,X,O,X,X,X2
O,O,X,O,X,O,X,X,X,X won
 ,X,O,X,O, ,X, , ,O0
X, ,X,O, ,O, ,X,O,X1
X, ,X,O,O,X,X,O,O,X1
X, , , ,X, , ,O, ,O8
O, , , ,O,X, ,X, ,X8
 ,X, ,O, ,O,X,X,O,X4
O,X, , ,X,O, ,O,X,X2
O, ,X, , ,O, ,X, ,X4
O, , ,X,O, , , ,X,X1
X, , , , ,O,X, ,O,X3
 ,O,O,X,X,O,X, ,X,O0
O, ,X, , , , ,O,X,X5
X,O,X,X,X,O,O,X,O,Draw
 ,O,X,O, , ,X,X,O,X4
O,X, , , , ,O,X,X,O3
X, ,O,O, ,X,X, , ,O4
X,O,X, , , ,O,O,X,X4
X, ,X,X,O,O, , , ,O1
 ,X,O,X,O,O, , ,X,X6
X, ,O,X,X, ,O, , ,O1
O,X,O,O,X,X,X, , ,O7
 ,O, , ,X, , ,X, ,O0
 ,O,O, , , ,X, ,X,X7
O,O,X,O, ,X,X,X, ,O4
O, , , ,X, ,X, , ,O2
X,O,X, ,O,O, , ,X,X3
X,X,X, ,O,X,O,O, ,X won
O,X,X,O, , , ,X, ,O6
 , ,O, ,X,X,O,O,X,X0
O,X,X,X,O, , , , ,O8
 ,X,X,O, , ,O,O,X,X0
 ,O,X, ,O,X, ,X, ,O8
 , ,X, ,X, ,O, , ,O0
O, , ,O,X,X,O, ,X,O won
O,X,X,X,O,O,X, , ,O8
 ,X,O, ,X,X, , ,O,O0
O,O,X,X,O,X, ,X,O,O won
X, , , ,O,X,O, , ,X2
 ,X,X, ,O,X,O,O,X,X won
 , ,O,O,X,O, ,X,X,X0
 , ,X,X,O,O, , ,X,O0
X,X, , , , ,O, , ,O2
X,O, ,X,X,O, , ,O,X6
X, , ,X,X, ,O, ,O,O7
O, ,X,X,O,O,X, ,X,O7
 ,O,O,O, ,X, ,X,X,X6
O, , ,O,X,X,X,O,X,O2
 ,X,O,X,O,X,O,O,X,O won
O, ,X,O,X, ,X, , ,X won
O,O,X, , , ,X,X,O,X4
X,O,O,X, ,X, ,X,O,O4
O,O, , ,X,X, ,X,O,X3
X, , ,O,X,O, , , ,X8
O, ,X,X, , ,O,X,O,X4
X, , ,O, , , ,X,O,X1
 ,X, ,X,O, ,X,O, ,O0
O,X, ,X, ,O,X, ,O,X2
X, ,O, ,O,O, ,X,X,X6
O,X, , ,X,O, , , ,X7
 , ,X,O,O,X,X,X,O,O0
X, ,O,X, ,O, ,X,O,O won
X, ,X, ,O,O, ,X,O,X1
O, , , , ,O, ,X,X,X6
O,O, , , ,X, ,X, ,X2
O,O, ,X, ,X, , ,X,O2
 ,O,X,X, ,X, ,O,O,X4
X,X, , ,X, , ,O,O,O6
 ,O,X, ,X,X,O,O, ,X3
X, , ,X,X,O,O, ,O,X1
X,X,O, ,X,X,O, ,O,O7
X,O,X,X,O,O, ,X,O,X6
 ,O,X,O,X,O, ,X, ,X6
X,O,X,X,O,X,O, , ,O7
O, ,O,X, , ,X, , ,X1
 ,X,O,X,X, ,O,O, ,X5
 , , ,X, ,X, ,O,O,X4
X, , ,O,X,X, , ,O,O1
X,O,X, , ,O,X,O, ,X3
 ,X,O,X, , , , ,O,X5
O,X,O,X,O, , ,X,X,O6
X, ,O,X, ,O,X,O,X,X won
X,O,X, , ,X,O, , ,O8
 , ,O,O,X,X,X,O,X,O0
X, , , , ,O, ,O,X,X4
O,O,X, ,O,X, ,X,X,X won
O, ,X,X, ,O,X,O,X,O4
 ,X, , ,O,X, ,O, ,X2
 , ,X,X,O, , , , ,O0
X, ,O,O,O,X,X,X,O,X1
 ,O,X,X,X,X, ,O,O,X won
O,O,X, ,X,X,X,O, ,X won
 , , ,X, , ,X, ,O,O0
 , ,O,X,X,O, ,X, ,O8
 , ,O, ,X,O,X,X,O,O won
O, , , ,X,O,X, , ,X2
O, ,X,X, ,O,O,X,X,O1
O, ,O,X,X,X, ,O,X,X won
 ,O, ,X,X,O, ,O,X,X0
 ,O, ,O,X, , ,X,X,O0
 ,X,O,X, ,O,O, ,X,X4
 ,X, , , ,X,O,X,O,O4
O,O,X, ,O, , ,X,X,X5
O,O,O,X,X, ,O,X,X,O won
 ,X,X, , , ,X,O,O,O0
O, ,X,X, , ,X,O, ,O4
 , ,O,X,X,X, , ,O,X won
 ,O,X,X,X, ,O,O, ,X5
 , ,O, ,O,X, ,X,X,O6
O, , , , , ,X, , ,X2
O, ,O,X, ,X, ,O,X,X4
X,O, ,X, , ,X, ,O,X won
X, ,O, , ,O,X,X, ,O8
 , ,O,X, , ,O,X, ,X4
X,O,O,X, ,X, ,O, ,X4
 , , , ,X,O, , , ,X0
X,O,X,X,O,O,X,X,O,X won
O,X,O,O,X, ,X,X, ,X won
X,O, ,X,O,X, , , ,O7
X,O, ,O,O,X,O,X,X,X2
O, , , , , ,X,O,X,X2
O,O, ,O, ,X, ,X,X,X2
X,O, , ,X,X,O,X,O,O3
 , , ,O,X, , ,X, ,O1
O,X,O,O,X,X, ,X, ,X won
X,X,O, ,O, , ,O,X,X6
O,O,X, ,X, , ,X,O,X6
X,O,X,O,O, , , ,X,X5
 ,X, ,O,X,O, ,O,X,X0
O,X, , , ,X, ,O,X,O2
 ,X, , , , , ,O, ,X0
O, ,X,X,O, ,O, ,X,X5
 , ,X,X, ,O,O, , ,X0
X, ,X,O, ,O,O,X, ,X1
 , , , ,O,X,O,X,X,O2
 ,X,X, , ,O,X,O, ,O0
O,X, ,O,X,X, , ,O,X7
X,O, ,O,X,X,O,X, ,O8
X,X, ,O, ,X,O,O,X,O2
X, ,X, , , ,X,O,O,O1
O, ,X, ,O, ,O,X,X,X5
 ,O, ,X, , , ,O,X,X4
O, ,X,X,O, , ,O,X,X5
 ,O,O, ,X,X, ,X,O,X3
X, ,X, , , , ,O, ,O1
 , ,O,X, ,X,O,X, ,O4
 , ,X,O,O,X, , ,X,X won
 , ,O,O, ,X,X,O,X,X0
O,O,X,O,X,X, , , ,X6
X,X,O,X, ,X, ,O,O,O6
X,O,O, ,O,X,X, ,X,O7
O, , ,O,X,X,O,X, ,O won
X, , ,X,O,O,X,O,X,X won
X,X,X,O,O, ,X, ,O,X won
O, , ,O, , ,X,X, ,X8
O, , ,X, , ,X,X,O,O4
O, , , ,X,X, ,O,X,O1
X, ,O, , , ,X,X,O,O5
X,X,O,X,O,O,X, , ,X won
X,X,O, , ,X,O,O, ,X3
O,X,O, ,O,X, ,X,X,O6
X, , , ,O, , , ,X,O1
 ,X, ,O, ,O,X,X, ,O4
O, ,O, ,X,O,X, ,X,X7
O,X,O,X, ,X,X,O,O,X4
X,O, ,O, ,X,X,X,O,O2
O,X,X,X, ,O,O,X,O,X4
 , ,X, ,X,O,O,X,O,X1
 ,X,X,O, ,O, , ,X,O4
 ,O,O,X,X, ,X, , ,O0
X,O,X,X, ,O,O,O,X,X4
O,X, ,O,X,X, , , ,O6
X,O,X,X,X,O, ,O, ,O6
O,X,O,O, ,X,X,X, ,O4
O,O,X, , ,X, ,X,O,X4
X, ,X, ,X, ,O, ,O,O7
 , ,X,X,O, , ,O,X,O1
X,O,O,X,O, , ,X, ,X6
X,X,X,O,X,O,O, , ,X won
X,O,X,O, , ,X,O,X,O4
O,X,O,X,X, , , ,O,X5
X,X,O,X,O,O,O, ,X,O won
 ,X, , , ,O, , , ,X2
O, ,O,X,X,O,X,X,O,O won
 ,O,X, ,O,X,X, , ,O7
O,X, , ,X, ,O,X, ,X won
 ,O,O, ,X,O,X, ,X,X0
X,X, ,O,O, ,X, , ,O5
 , ,X, , ,O, , , ,X0
O,X,X,X,X,O, , ,O,O6
X, , ,X, ,X,O,O, ,O8
 ,O, ,X,X,O,X, , ,O0
 ,O,X, ,X,X,O,O,X,X won
X, , ,O, ,X,O, , ,X2
X, ,O,O,X,X,O,X,O,X1
O, , ,X,X,O, ,O,X,X1
X, ,O, , ,X,O,X,O,X4
O,X,O,X,X, , , , ,O5
X,O,X,O, ,X,O,X, ,O8
X,X,O,O, , ,O,X, ,X4
X,X,O, , ,O, ,X,O,O won
X, ,O,O,O,X, ,X, ,X6
O,X,O,X,O, ,X, ,X,O7
 ,O,O,X,X,X, ,X,O,X won
O, , ,O,X,X,X,O, ,X2
 ,O,X, , ,X, , ,O,X4
X,O, ,X, ,O, ,X,O,X6
X,X,O, , ,O, , , ,X8
X,O,X,X,O, ,O,X, ,O5
O,O,X,X, , ,X,X,O,O4
O,O,X,X, , , ,O,X,X5
O,X,X,X, ,X,O, ,O,O4
X,X,O, ,O,X,X,O, ,O3
 ,X,X,O,O,X,O,X, ,O0
 ,O,X,X,O,X,X, ,O,O0
 ,X,O, , ,X,X,O,O,X3
X,O, ,X, , , , ,O,X6
 , , ,X,X, , , ,O,O5
O,X,O,X,X,X,O,O,X,X won
 ,X, , , ,O,X,O, ,X0
X, ,O,O, ,X, , ,X,O4
X,O, , , ,X,O,O,X,X2
 ,O,X,X, , , ,O, ,X4
 ,X,O,X,O, ,O,X, ,O won
 , ,O,X,O,X,X,O,X,O1
O,X, ,X, ,X,O,O, ,X4
X, ,O,X, , ,O,O,X,X4
 , ,X,X,X,O,O, ,O,X7
 , ,O,X,O, ,X,X, ,O0
 , ,X,O,X,O,X,O,X,X won
O, , , ,X,O, , ,X,X6
O,X,X, , , , ,X,O,O4
 ,O,O,O,X,X, ,X, ,X0
 ,X,O, ,X,O,O, ,X,X0
X,X,O, ,O,X,O, , ,O won
 , ,X, ,O, ,O,X,X,O5
X, ,O, ,X, , , , ,O8
O,O,X,X,O,X,X, ,O,O won
X,O,X,O,X,O, , ,X,X won
 ,O,X,X, , , ,O,X,O4
 ,O,O,O,X,X,O,X,X,X0
 , ,X,O,O,X,X,O, ,X8
O,O,X, ,X,X, , ,O,X3
 ,X,O, , , ,X,X,O,O5
O, , ,O,X, ,X, , ,X2
 ,X,O,O, , ,X, , ,X7
X,O, , ,X,O,X,O,X,X won
 ,X, ,O,X, , ,O,X,O0
O, ,O,X, , , ,X,X,O1
X,X, , ,O,O, ,O,X,X2
 , ,O, ,X,O, , ,X,X0
X, ,O,X,O, , ,X,O,X6
O,X, ,X,O,O,X,X,O,O won
 , , ,X,X, ,O,O, ,X5
O,X,X, ,O, ,X,O,X,O5
 , ,X,X, ,X,O, ,O,O7
 , ,X, , , , ,O, ,X0
O,X,X,X,O, ,O,X, ,O8
X,O,X,O, , , , ,X,O4
 ,O,X, ,O, ,X,O,X,O won
O,X,X,X,O,X,O, , ,O8
X,O, , ,X,X,O,O, ,X3
 ,X,O,O,X,X,O,X, ,X won
X,X, ,O,O,X,O,O,X,X2
O, ,X, ,X, ,X, ,O,X won
 , , ,O,O,X, , ,X,X2
O,X, , ,X,X,O,O,X,O3
X, , ,O,O,X,O, ,X,X2
 ,O, ,O, ,X,X,O,X,X2
 , , ,X, ,X,O,O,X,O0
X, ,O,X, ,O, ,X, ,O8
O,X, ,O,X, ,O, ,X,O won
X,O,O,X,O,X,O, ,X,O won
 ,X,X,O,X,O,O, , ,X0
X,X,O, ,O,X, ,X,O,O6
 , ,X, ,O,O,X,X,O,X0
X,O,X,X,X, ,O,O, ,O8
X,O, , , , ,O,X, ,X2
O, ,O, ,X, ,X,O,X,X1
X,X,O,O,X, ,O, ,X,X won
O,X,X, , ,X,O,X,O,O3
O, ,X,O, ,O,X,X,X,X won
O,O,X,O, ,X, ,X,X,X won
 , ,O, ,X, ,X, ,O,X5
O, , , , ,O,X,X, ,X8
X, ,O, ,X,X, ,O,O,X3
 , , ,X, ,O,O,X, ,X1
 ,X,X, ,O,X,O, ,O,X0
 ,O, ,X,O,O, ,X,X,X6
 , ,O,X,X, ,O, ,X,O0
O, ,X, , , ,X,X,O,O4
 ,O, , ,X,X,O, , ,X3
O,O,X, , , ,X,O,X,X4
 ,X,X,O,O,O,O,X,X,O won
X,X,O,O,O,O, ,X,X,O won
X,X,O, ,O,O,X, , ,X3
O, ,X, ,O, ,X,X, ,O8
 , , ,O,X,O,X, , ,X2
 ,O,O, , ,X,X,O,X,X0
O,X, ,X, , , , ,O,X4
 ,X,X,X,O,O,O, , ,X0
O,O,O, ,X, ,X,X, ,O won
 ,O, , ,O,X, ,X, ,X8
X,X,O, ,O, , , , ,X6
 ,O,O,X,O,X,X, , ,X0
X, , ,O,O,X, , ,X,O2
O,O, ,X,X, ,O,X,X,O2
O,X, , ,O, ,X, , ,X8
X, ,X,X, ,O, , ,O,O1
 , ,X, , ,O,X, ,O,X4
X,O, , , ,X,O, , ,X4
X,X, ,X,O, , , ,O,O2
O, , , , ,X, ,O,X,X2
 , ,X, ,O,X,X, ,O,O0
O, ,O, ,X, ,X, , ,X1
 , ,O, ,X, , ,X,O,X1
O,X, ,O, , ,O,X,X,O won
O,X,O, , ,X,O,X,X,O3
O,X,O, ,X,X, ,O, ,X3
 ,X,O, ,O,X, , , ,X6
 ,X, ,O, ,X, ,O, ,X2
 ,X,X, ,X, ,O,O,O,O won
 ,X,O,O,X, , , ,X,O0
 , , , ,X, , ,O, ,X0
 ,X,X,O, , , , , ,O0
 ,O,X,X, ,O, , , ,X6
X,X,O,X,O,O,X,O,X,X won
O,X,X,O,X,O, , , ,X6
 ,O,X, , ,X,X,O, ,O4
O,O, ,X, ,X,X,O, ,X4
X,X,O, , ,X,O,O,X,O4
O, , , ,X, , ,X, ,O1
O,O,O, , ,X,X, ,X,O won
X,X, , , ,X,O,O,O,O won
X,O,X,X,X,O, , ,O,O6
X, ,X,X,O,O, ,X,O,O1
X,O, , , ,X, , , ,O4
X, ,O,O, , , , ,X,X4
 , , , ,X, ,X, ,O,O2
 ,O, ,X, , , , , ,X0
X, ,X,O,O, ,O, ,X,X1
X,X, ,O, , , ,O, ,X2
 ,X, ,X,O,O,X,X,O,O0
X,O,O, ,X,X,X,O,O,X3
O, ,X,X,O, , , , ,X8
 ,O, , , ,X, , , ,X2
X,O, , ,X,X,O, ,O,X3
X,X, , , ,O,X,O, ,O2
O, , ,X,X, , , , ,O5
X, , ,X, ,X,O,O,O,O won
O,X, ,X,O,O, ,X, ,X8
 , ,X, ,O, ,X, ,O,X0
O,O,X,X,X,O, ,X,O,X6
O,O,X, , ,O,X,X, ,X4
 ,X, , ,O,X,O,X,O,X0
 ,X,O,O, ,X,X,O, ,X0
X,O,X, , ,O,X,X,O,O3
O,X,X,X, ,O,X,O,O,X4
X, ,O,X,O,X,O, , ,O won
X, ,O,O,X, ,X,X,O,O5
O,X,O,X,X,O,X, , ,O8
X, , ,O, , , ,O,X,X4
 ,X,O,X, ,X,O,X,O,O4
O,X,O, ,X,O,X, ,X,O7
O,X,X,X, ,O, , ,O,X4
O, , ,O,X, , ,X,X,O6
O,X, ,X,X,O,O,O,X,X2
 , ,O, ,X, ,X,O,X,O0
O,O,X,X,X, ,O,X,O,X5
O,X, , , , ,X,O,X,O2
X,O,X,X,O,O, ,O,X,O won
X,X, ,X,O,O,X,O, ,X won
 , , ,X,O,O,O,X,X,X2
O, , , ,X, ,X,X,O,O1
 ,X, ,O, ,O,O,X,X,X4
X,O, ,X,X,X,O, ,O,X won
X,O,X,O,O,O,X,X, ,O won
X,O, ,X, , ,X,O, ,X won
 , , ,O,X, ,X,X,O,O0
O,X, ,O, ,X, , , ,X6
 ,X,O,X, ,X,O, ,O,X4
 , ,X,O,X,O,O, ,X,X0
 ,O, ,X,O,X, , ,X,O7
O, ,O, ,X,O, ,X,X,X1
X,X,X,O,O,X,O,O,X,X won
X,X, ,O,X,X,O,O, ,O8
O,X,X, , ,X,O,O,X,X won
 ,X, , ,O, ,X,X,O,O0
O,O, ,X,X,X,O,X, ,X won
 , ,O,O,X,X,X, , ,O0
O,X, ,O, ,O, ,X,X,X4
X, ,X, ,O, , ,O, ,X1
O, , ,X,X,O,X,X,O,O2
 ,X, , ,X, , ,O, ,O0
X, ,O,X, ,X, , ,O,O1
 ,X,O,O, ,X, ,X,O,X4
X, , , ,X, ,O,O,X,X won
O,X,O,X,O, ,O,X,X,O won
X,X, , ,O,O, , ,X,O3
X,O,X, ,X,X, ,O,O,O6
X, ,O,O,X,X,O,X, ,O1
X,O,X, , ,O,X, , ,O3
O, ,X,O,X,O,X, ,X,X won
 ,X, , ,O,O, , ,X,X3
X,X,X,O, ,O, ,O,X,X won
 , ,X, , ,X,O, , ,O8
X,O,X,O,X,O,O,X,X,X won
X,X, , ,X,O,X,O,O,O2
 , , ,X,O,X, ,X,O,O0
 ,X, ,X, ,X,O,O,O,O won
X, , ,X, ,O, ,X,O,O2
X,O,O, , ,X,X,O,X,O4
 , ,O, ,O,X,X,X,O,X0
 ,O, , ,O,X,X, ,X,O7
O, , ,X, ,X,X,O,O,X4
 ,X, ,O,X, ,O, , ,X7
O, ,X, ,X, ,O,O,X,X5
 ,X,O, ,O, , , ,X,X6
O,X, , ,O,O, ,X,X,X6
O,O,O,X,X, ,X,X,O,O won
 ,X,X,O, , , ,X,O,O0
 , ,O, ,X,X,X, ,O,O3
O,X, ,X, , ,O,X, ,O4
X,O,X,O, ,X, , , ,O8
 ,X,O,O,X,X,O, , ,X7
 , ,X,X,O, ,O,X, ,O0
X,X,O,O,X,O, , , ,X7
X,X,O,O,O,X,O, ,X,O won
X, ,O,X, , ,O, ,X,O4
O,O,X,X, , ,X,O,X,O4
 ,O,X,O,X,O,X,X, ,X won
X, ,O,O, ,X,X, ,O,X1
 ,X,X,X,O,O, ,X,O,O0
 ,O, ,X,X, ,O,X,O,X5
X, , ,O,O,X,X, , ,O1
X, ,X,X,O, , ,O,O,X1
 , ,X,X, , , , ,O,O6
O, ,X,X,X,O,O, ,X,O1
 ,O,O,X,X, ,O, ,X,X0
 ,X,X,O, ,X,O,O, ,X0
O,O, ,O, ,X,X, ,X,X2
X,O,X,O,X, ,O, , ,X8
X,O, , , , ,X,O, ,X3
O, ,O,X,X,O, , ,X,X1
X,O, , ,X,O,X, ,O,X2
 ,O,O,X,X,X, , , ,X won
 , ,X,O,O, ,X,X, ,O5
X, , , ,X,O,X,O,O,X2
 ,O, ,X,O,X,O,X, ,X2
X, ,X,O, , ,O,X,O,X1
X, ,O, ,O,X,O,X, ,O won
X, ,X,O,O, ,X,O, ,X1
O,O,X, , , , , ,X,X5
 ,X,O,X, ,O, ,X,O,O won
X,X,O, , , , , ,O,X5
X,X,O, ,O, ,X,O, ,X3
O,O,X,X, , , ,X, ,O4
X, , ,O,X,O, ,X,O,X1
X, , , ,X,O, ,O,X,X won
X, ,X,X, ,O,O,O, ,X1
X,O,O,X,O,X, ,O,X,O won
 ,X,O,O,O,X,X,O,X,X0
X, , ,X,X,O,O, , ,O8
 ,O,X, ,O,O,X,X, ,X8
X,O,X, ,O,O,O,X,X,X3
 , , ,O, ,X,X,X,O,O1
 ,X, ,O,X, ,X, ,O,O0
X,O, ,X,X, , ,O,O,X5
X,O,O, , ,O,X,X, ,X3
X,X,O,O, , ,O, ,X,X4
X, , ,O, ,X, ,O, ,X2
 ,X,X,O,X,O, ,O, ,X0
 ,O,X, ,O,X, , ,X,X won
 , , , ,O, , ,X, ,X0
O, ,O,X, ,X,O, ,X,X4
X,O,O,O,X,O,X,X, ,X8
X,X, ,O,O,O, , ,X,O won
O,X,O,X, ,X,X,O, ,O4
 ,O,O,X,X,O,X,O,X,X0
X,O,X,O,X,X,O, ,O,X7
O, ,X,X, , , , ,O,X4
X, , ,O,O, ,O,X,X,X1
 ,O,X,X,X,X,O,O, ,X won
X,O,O, ,X, ,X, ,O,X3
X,O, ,X,O,O, , ,X,X6
X,O, ,O, , ,X, , ,X4
X,O, ,O, ,X,O, ,X,X2
 , , , , ,X,O,X,O,X4
X,X, , ,O,O, ,X,O,X2
 ,X, , ,O, ,O,X, ,X2
 ,O,O, ,X,X,O, ,X,X0
X,O,X, , ,X,X,O,O,O4
 ,O,X,O,X, ,O, ,X,X0
 , , ,X,O, ,X,O,X,O1
X, ,O, , , , ,O,X,X4
 , ,X,O,O,X, ,X,O,X0
O, ,X, ,O,X,X,O,X,X won
 ,O,O,O,X,X,X, ,X,O0
O,X,X, ,X,O,O, , ,X7
 ,X, ,O,X,X, ,O, ,O6
 , ,O,X,O,X, ,O,X,X0
 , ,O,O, ,X, , ,X,X0
 , ,O, , ,X, ,O,X,X4
 ,O,O,X, ,X,X, ,O,X0
O,O,X, , ,X, , ,X,X won
O,X, , , ,X,X, ,O,O4
O,O,X, ,X,O,O,X,X,X3
O,X,X, , ,O, ,X, ,O4
O,O,X,X,O, , ,X, ,X8
 , , ,X,O, , , , ,X0
O, , ,X,X, ,O,X,O,X1
O,O,X, , ,X,O,X, ,X8
X, ,X, ,O,O,O,X,X,O3
X,X, ,O,X, , ,O, ,O2
O,X, , ,X,X,X,O,O,O2
 , ,X,X,X,O, ,O,O,X6
X, ,O, , ,O, ,X, ,X8
 ,X,X, , , ,O,X,O,O0
 , ,O, ,X, , , , ,X0
O, ,X, ,O,O,X,X, ,X8
O, , ,O,O,X,X,X,X,X won
X, ,O,O, , ,X, , ,X8
X,O, ,O,X, , ,X,O,X2
X, ,O,X, ,O,X, , ,X won
O,O, ,X,X, ,X, ,O,X2
X,O,O, ,X,X,X,O, ,O3
 , , ,X,X, ,O, ,O,X5
X, ,O, , , , ,X, ,O8
X, ,X,O, ,O,X,O, ,X1
X,X, ,O,X, ,O,O,X,X won
X, , ,X, , ,O,O, ,X8
 ,X, ,O, ,X,O, ,X,O0
X,X,O,O,O,X, ,X, ,O6
O,O, ,X,O,X,O,X,X,X2
O, , , , ,O,X, ,X,X7
O,O,X,X,X, , , , ,O5
 ,O, ,O,O,X,X,X,X,X won
X,O, ,X,X, , , ,O,O2
 ,O,X, ,X,X,O, ,O,X3
 ,O,X, ,X, ,X,O, ,X won
O, ,O,X,X,X,X,O, ,X won
 ,X,O,X,O,X,X,O, ,O0
 ,X,O, , ,O, , ,X,X4
 ,O,O,X,X,O, ,X,X,O0
 , , , , ,X, , ,O,X0
 , , ,X,O,X, , , ,O0
X,O, , , ,O,X,X, ,O2
 , ,X,O,O, ,X, , ,X5
 ,X, ,O, ,O,X, ,X,O4
 ,O,X, ,O,X,X, ,O,X0
 ,X, ,X,X,O,O, ,O,X7
X, , ,O,X, ,X, ,O,O2
X, ,X, ,O, ,X,O,O,X1
 , , ,X,X,O,O,X, ,O1
O,O, ,X,X, ,X,X,O,O2
X, , ,X,O,O, ,O,X,X6
 , ,X,O,O,X, ,X, ,O8
O,X,O,X,O,X,X,O,X,Draw
O,O, ,X, , ,X, , ,X2
 , ,O, , ,X, , , ,X0
X, ,O,X, ,X,X,O,O,X won
O,X, ,X,O, , ,X, ,O8
O,O,O,X, ,X,X,X,O,O won
 ,X,X,O, , ,O, ,X,O0
X,X,O,O,O, ,X, , ,X5
 , ,O, ,X,O,O,X,X,X0
O,X,X,O, ,X,X, ,O,O4
O,X,X,O, ,X, ,O,X,X won
X, ,O,X,X, ,O,O,X,X won
X,X,O, ,O,O,O,X,X,O won
X,O, ,O, ,X,X, , ,O4
O,X,X,O,O, ,O,X,X,O won
